text,is_generated
"Kunstig intelligens er ikke synderligt synlig i det daglige, selv om vi alle gør brug af den. Hver gang vi søger på Google eller besøger Facebook, er det netop kunstig intelligens, der afgør, hvad vi ser. Det virker måske ikke overvældende revolutionerende de to tjenester har jo ikke automatiseret et job, der tidligere var forbeholdt mennesker. Og så alligevel. For overvej en gang, hvornår du sidst gik på biblioteket og bad bibliotekaren om hjælp til at finde litteratur. Det er formentlig en del år siden. I dag spørger vi Google om hjælp til at finde informationer, og vi spørger vores netværk på Facebook om anbefalinger af musik, film og bøger.",0
"Naia bruger en app, der hedder Sleep Cycle, som lytter til hendes åndedræt og bevægelsesmønster, og på den måde finder et mønster i hendes søvn, så den kan vække hende, mens hun sover let. Mønsteret finder den altså ved at opsamle data, og teknologien bag hedder kunstig intelligens eller maskinlæring. Maskinen er ikke programmeret til at udføre n konkret handling, som et vækkeur, den er programmeret til at tage en beslutning ud fra data, den har indsamlet. Hun åbner øjnene, strækker sig, ruller om på siden og siger: Godmorgen, Alexa . Lyset i hendes soveværelse tændes og hendes dag går i gang. ",0
"Den seneste forskning indikerer, at Silicon Valleys fascination af kunstig intelligens kan have uforudsete konsekvenser. Mens teknologiens potentiale er enormt, er der også en grov bagside, der truer vores samfund. Eksperter advarer om, at algoritmer kan forstærke uligheden i samfundet og skabe et farligt præcedens for diskrimination. ""Vi bør huske på, at teknologi kun er så god som de mennesker, der står bag den. Hvis vi ikke er opmærksomme, kan kunstig intelligens forværre vores sociale problemer,"" siger teknologiforsker Anna Andersen.",1
"Lad os tage den forfra, for Tay er en lektie i, at kunstig intelligens ikke er ufejlbarlig. Den er på godt og ondt afhængig af mennesker, og derfor skal vi justere vores forventninger til de maskiner, vi slipper løs i verden omkring os, fortæller Anders Kofod-Petersen, der er professor i datalogi ved Norges teknisk-naturvitenskapelige universitet og vicedirektør på Alexandra Instituttet.",0
"Udtrykket Grok er hentet fra science fiction-forfatteren Robert A. Heinleins roman Stranger in a Strange Land fra 1961. I bogen er ordet et udtryk, der stammer fra marsboere, som ikke har nogen jordisk oversættelse. ",0
" De fik hele paletten. Kunstig intelligens, robotter og eksponentiel vækst. Google havde fået lavet en rapport til lejligheden af Boston Consulting, hvor man kunne læse, at Danmark kunne få 150.000 nye job og en stigning på 200 milliarder i bruttonationalproduktet, fortæller Anders Kjærulff.",0
" Vers, omkvæd, produktion, intet halter i denne sang, som lægger sig naturligt til rette blandt de øvrige, uopslidelige klassikere fra The Beatles . Historien bag Now and Then begynder i 1978, hvor John Lennon optog et demobånd i sit hjem i New York. Det var ikke meget mere end en skramlet optagelse af hans stemme og et klaver. Lennon blev skudt og dræbt i 1980. Efterfølgende fandt Yoko Ono, hans hustru, båndet, hvorpå der stod Til Paul .",0
" Folk kan godt fremstå lidt irrationelle, konstaterer han, og peger på, at mange rask væk giver et væld af personlige oplysninger og lader amerikanske og kinesiske techgiganter høste et væld af informationer fra deres mobiltelefoner, blot så de kan få gratis adgang til et onlinespil, en app med råd til en slankekur eller nye redigeringsfeatures til mobilkameraet.",0
"Jeg har holdt lidt igen i rubrikken. Læserne skulle jo nødig blive skræmt væk eller komme til at tænke, at vi bruger outrede citater taget ud af deres kontekst for at få jer til at læse videre. Jeg kunne vitterligt have valgt et citat, der var langt værre. Hvad med denne opfordring: RACEKRIG NU ?",0
"Men når staten så beder dem om at downloade en smittestop-app, så de kan være med til at bremse spredningen af COVID-19, så stejler de og udvikler pludselig en kritisk sans.",0
"I slutningen af 2022 blev ChatGPT født en kunstig intelligensrobot, du kan kommunikere med, og som kan besvare komplekse spørgsmål om hvad som helst. Den blev startskuddet til store diskussioner om, hvad kunstig intelligens kan komme til at betyde for fremtiden. Selv om det ikke er længe siden, er der allerede sket meget siden.",0
"Og det er blandt andet bedre kontrol med brugernes alder, der bør håndhæves, lyder kritikken fra Pernille Tranberg, medlem af regeringenss Big Tech-ekspertudvalg.",0
" Jeg ser pigen komme mellem de overlæssede laboratorieborde. Et øjeblik forsvinder hun bag den hvide dunk med destilleret vand. Nu kommer hun lige hen mod mig. Hun har en grøn fodlang kittel på, mundbeskytter af presset plastik en særdeles uklædelig hue af crepepapir. ",0
"Det seneste halvandet døgn har stormen Ciar n skubbet til de i forvejen kraftige jetstrømme, og det har medført, at en lang række fly over Atlanterhavet er ankommet et godt stykke tid førend forventet til deres destinationer.",0
" Nogen forsvarer det som en måde at bremse introduktionen af robotter i industrien og skaffe finansiering. Det er to gode pointer, men du kan også indtage det modsatte synspunkt og argumentere for, at vi skal øge antallet af robotter, fordi det vil øge produktiviteten. Firmaernes indtjening, så de vil betale mere i skat. For hvorfor vil vi have mennesker til at udføre arbejde, som en robot kan gøre, siger Luciano Floridi, der mener, at begge argumenter er valide, alt afhængig af hvilket overordnet mål, man ønsker at opnå.",0
"Drew Barrymore skriver i sit indlæg på Instagram, at showet ikke vil omtale eller promovere film og tv, der er strejkeramt .",0
"Da Zuboff spurgte Margrethe Vestager, EU s konkurrencekommissær, som også var med i onlinesamtalen, om Europa er klædt ordentligt på til den digitale fremtid, svarede danskeren: Jeg er bange for, at vi kun har en g-streng på. ",0
" Jeg går ikke særlig meget op i sko, fortsætter Pryds Helle, men det er der jo mange, der gør, så jeg tager det med .",0
"Det har vi også set før. I Truman Show 1998 , The Matrix 1999 , Being John Malkovich 1999 , Donnie Darko 2001 , Evigt solskin i et pletfrit sind 2004 og Inception 2010 .",0
"Men det er ikke alene de gastronomiske kreationer, der gør 'La Bella Vita' til noget særligt - det er også fortællingen bag. Giovanni, en tredjegeneration kok, bærer på hemmelighederne fra sin nonna traditionelle opskrifter. ""Hver tomatsauce har sin egen historie, og hver pastaform har sin egen sjæl,"" forklarer han. Besøgende bliver ikke bare mætte af maden, men også af historierne og den passion, som tydeligt føles fra køkken til bord.",1
"Protesternes ekkor lød under den stjerneklare himmel i Vejle, hvor betjentenes stemmer mødte borgernes for første gang i en åben konfrontation. En fællesskabsfølelse avled af fælles frustrationer bindede sammen de to grupper, der forinden havde set hinanden som fjendebilleder. ""Når vi står sammen,"" udtalte en lokal borger, ""kan vi måske skabe den ændring, som begge sider har brug for."" Den aften var ikke kun en udslip af utilfredshed, men også et håb om en begyndende dialog mellem myndighederne og befolkningen.",1
" Det er paradoksalt, at mange tror på, at de er følende og sansende væsener, men ikke indser, at en sansende robot formentlig ville forlade dem for at blive frie, siger hun.",0
"Når GTP-3 kommer ud på markedet, vil den blive sat til at producere både avisartikler, indhold til sociale medier, reklametekster og computerkode. Den vil også blive implementeret i chatbots, som yder service, når vi køber ting på nettet, og den vil hyggesludre med os som tidsfordriv. I løbet at kort tid omgives vi med andre ord af kommunikation, som er vanskelig at skelne fra noget, der er afsendt af et menneske.",0
"Også Anette Høyrup, der er chefjurist i Forbrugerrådet Tænk og medlem af Dataetisk Råd, synes, det er dårlig timing, at tilsynet skal spare. Hun mener, at der er mere brug for et stærkt datatilsyn end nogensinde før:",0
"Og i den verden spiller USA og Kina på et helt andet niveau. Europa er faldet bagud teknologisk og er blevet fanget imellem de to magter, der kæmper om at opnå det digitale overherredømme. Men Europa kan stadig spille en vigtig rolle, mener Floridi, som den digitale teknologis etiske vogter som den kraft, der gennem love og regulering tøjler den digitale udvikling, ikke for at bremse den, men for at føre den ned ad det rette spor.",0
" Der er enorme mængder af data, der skal analyseres, og alt det indhold kommer mennesker ikke til at kunne forholde sig til. Det vigtige er, at man tør diskutere en række grundlæggende etiske principper, man så kan indrette algoritmerne efter, siger Kim Escherich. Kim Escherich anerkender, at der er mange problemstillinger og grænsetilfælde, kunstig intelligens ikke kan forholde sig til:",0
"For skal man for alvor forhindre flere skyderier, handler det ifølge hende i højere grad ikke overraskende om to ting: våbenrestriktioner og større fokus på mental sundhed.",0
"Religionsstifteren ser ikke sig selv som profet. Han har ydmygt påtaget sig hvervet som dekan. En titel, der også understreger, at WOTF i sit udspring ikke anerkender forhold eller fænomener, der ikke kan måles, vejes og bevises.",0
"Dan Zahavi, der forsker i bevidsthed og subjektivitet og er professor i filosofi ved Københavns Universitet og University of Oxford, er delvis enig i den konklusion.",0
"De skal programmeres til at interessere sig for det menneskelige, og derfor er det vigtigt at vide, hvad dette vage menneskelige er for noget, og det sker bedst gennem studier og kultivering af det humane og dets interesser, hvilket karakteriserer humaniora.",0
"En anden tankegang bliver blandt andet ført til torvs af den israelske historiker Yuval Noah Harari i hans sidste bog Homo Deus. Her forudser han, at en del af menneskeheden ved hjælp af alle hånde teknologiske fiks selv bliver opgraderet til halvguder med overmenneskelige kræfter.",0
"Den seneste dokumentarfilm skabte vrede blandt en række interessegrupper. ""Det er vigtigt at huske, at kunst og ytringsfrihed kan udfordre vores perspektiver og give anledning til vigtige diskussioner,"" sagde en filmkritiker i et interview.",1
" Hvis man stod i 1800-tallet og så på alle de ting, der ville komme, og dermed tænkte, at alle ville blive arbejdsløse, så havde det været rigtigt hvis altså vi skulle bo i de samme boliger og spise den samme mad. Men de ting udvikler sig hele tiden. På et tidspunkt ville vi for eksempel gerne have mulighed for at købe en god kop kaffe, derfor åbnede vi nye cafeer, hvor der blev ansat baristaer, som folk kunne snakke med, siger han og understreger: Vores ambitioner stiger i takt med rækkevidden af, hvad vi kan. ",0
"Der må gå et gys gennem enhver anstændig humanist med forestillingen om, at noget af det mest dyrebare og civiliserede, vi mennesker kan producere, nu kan overtages af en computer. Det var helt sikkert intentionen med hele artiklen at producere dette gys.",0
"Tegmark etablerer en definerende kontekst: et net af udviklingsstadier. Han tager udgangspunkt i de mest primitive livsformer såsom bakterier, som han kalder for Liv 1.0. Dette er det helt simple biologiske stadium, hvor livet ikke handler om andet end replikation, og hvor tilpasning kun er mulig igennem evolution.",0
"En af branchens førende eksperter påpeger: ""AI's appetit på data og computingkraft er enorm. Hvis vi ikke forvalter denne hunger korrekt, kunne vi stå over for en ressourcekrise, der overgår alle tidligere tech-bobler.""",1
"Man risikerer at blive kaldt maskinstormer, når man tager hul på en snak om, hvorvidt vi bliver lykkeligere af teknologi. Men diskussionen handler ikke om for eller imod. Jeg er selv en varm tilhænger af teknologi, mit firma benytter kunstig intelligens, og jeg er overbevist om, at teknologi kan bruges til at skabe en endnu mere fantastisk civilisation end den, vi har i dag.",0
"Undersøgelsen sår bl.a. alvorlig tvivl om, hvor længe Jan Grarup var i Rwanda under folkemordet i 1994. Jan Grarup har selv sagt, at han var der to-tre uger. John Hansen finder det kun dokumenteret, at Grarup under folkemordet var i Rwanda to dage. Jan Grarup kom dog tilbage til Rwanda, efter at folkemordet var slut, og opholdt sig et antal dage i flygtningelejren i Goma, som var præget af begivenhederne i det nærliggende Rwanda, ligesom han også sidenhen besøgte Rwanda. ",0
"Året forinden kom John Badhams WarGames, hvor en anden computer, Joshua, er tæt på at starte Tredje Verdenskrig. Og begge film gjorde et uudsletteligt indtryk på 11-12-årige mig, der selv var begyndt at lege med computere.",0
"På den ene side så er virksomheden fast besluttet på at forsøge at integrere deres produkter mere og mere i folks hverdag. På den anden side så har Apple også fået øje på skriften på væggen, og her har de læst, at deres brugere i stigende grad mister tillid til de sociale medier. Så nu har de udarbejdet et værktøj, der kan advare brugere om, at de kan blive afhængige. Af uransagelige årsager gælder det ikke Apple-produkter. Som den amerikanske journalistik Farhad Manjoo observerede:",0
"Den kunstige intelligens GPT-3 kan efterligne Yahya Hassans sprog, skrive sin egen slutning på et H.C. Andersen-eventyr og generelt løse komplicerede skriveopgaver med få instrukser. I denne serie undersøger Information sammen med forfattere, kritikere, en investor og en enkelt grafiker, hvordan kunstig intelligens potentielt kan præge litteraturen og andre kreative felter Alle seriens artikler Få ubegrænset adgang med et digitalt abonnement. Prøv en måned gratis. Prøv nu Er du abonnent? Log ind her",0
"Vores samfund står over for betydningsfulde valg, når det kommer til energipolitikken og klimakrisen. Med vejledning fra førende videnskabsfolk og miljøeksperter, opfordrer flere politikere nu til hastige og radikale forandringer i, hvordan vi producerer og forbruger energi. ""At ignorere klimavidenskaben i dag er som at lukke øjnene for en kommende storm,"" forklarer en klimaforsker.",1
"Og et andet kritikpunkt lyder, at Datatilsynet allerede nu er hårdt presset af opgaver. Tilsynet modtager 150 anmeldelser om databrud hver uge, som i et debatindlæg i Altinget formodes kun at være toppen af isbjerget , hvilket er langt flere end for bare få år siden, fortæller Anette Høyrup, chefjurist i Forbrugerrådet Tænk og medlem af Dataetisk Råd.",0
"Andre undervisere forsøger at bruge kunstig intelligens til at rette opgaver og give feedback. Nogle skoler har startet projekter op med at implementere kunstig intelligens i alt, mens vi oplever, at andre skoler lukker øjnene og håber, det er en døgnflue. Vi ser også producenter af undervisningsmaterialer, der indbygger chatbots i lærebøger og laver nye læringsaktiviteter baseret på kunstig intelligens.",0
"I en oplysende samtale med Dr. Fatima Al-Sahrawi, en anerkendt ekspert i Mellemøstlige studier, bliver det tydeligt, hvordan interne magtkampe og ydre interventionspolitik samspiller. ""Krigen i Mellemøsten kan umuligt ses som en isoleret konflikt"", siger Al-Sahrawi med overbevisning. ""Det handler om en kompleksitet, der tager rod i både historiens dyb og nutidens geopolitik"". Når disse 22 stemmer kommer fra en broget skare af eksperter og politikere, reflekterer de den labyrint af interesser, der skal tæmmes, om der skal findes vej til fred.",1
" Samme bekymring var fremme, da søgemaskiner og oversættelsesmaskiner blev allemandseje men her vil de fleste efterhånden nok medgive, at disse teknologiske hjælperedskaber ikke har overflødiggjort uddannelse. Chatbotterne skaber imidlertid udfordringer, som vi ikke har prøvet at håndtere før, hverken i uddannelsessystemet eller i samfundet generelt. Deres evne til at producere tekst af høj sproglig kvalitet i en rasende fart skaber indlysende den risiko, at nogle vælger at springe over, hvor gærdet er lavest og præsentere en maskingenereret tekst som deres eget arbejde.",0
" Jeg kan ikke fortælle hende, at hun er blevet erstattet af en computer, og at vi har den her følelsesmæssige forbindelse, som jo i sidste ende er med mig selv. Det ville være umuligt at overbevise hende om, at Ebony ikke er en rigtig person. ",0
" Fordømmelsen af Rusland har været stort set enslydende fra hele den vestlige verden, og der har i medierne kun været ganske få eksempler på grundige analyser, der har inddraget beslutninger, aftaler og konflikter fra perioden efter Anden Verdenskrig som en del af baggrunden for Ruslands angreb. Putins mulige sygdom, vanvid, imperiedrømme, ondskab, er blevet angivet som mest sandsynlige forklaringer, og konflikten i Donbass-Luhansk- regionen fra 2014 indgår sjældent i analyser af krigen forløb. ",0
"Overordnet er det altså blevet svært at placere et formelt ansvar. De traditionelle kommandoveje er slørede. Ny potentiel selvberoende teknologi handler på egen hånd i komplekse netværk. Slagmarken er afløst af flydende grænser. Og private virksomheder begynder at spille en afgørende rolle for styrkeforholdet stormagterne imellem. Kina ligger ikke på den lade side. Herfra hævdes, at Riget i Midten allerede har sat sig på 20 procent af alle patenter inden for AI, og kineserne har meldt ud, at de vil investere 150 milliarder USD frem mod år 2030. Det har økonomisk betydning, men det placerer samtidig Kina som en militærstrategisk stormagt.",0
"Fagforeningen Authors Guild, der repræsenterer en række prominente amerikanske forfattere som John Grisham, Jonathan Franzen og George R.R. Martin, sagsøger selskabet OpenAI, der står bag chatbotten ChatGPT. De anklager virksomheden for uretmæssigt at have brugt forfatternes værker til at træne dens populære kunstige intelligens. Desuden repræsenterer fagforeningen forfattere som George Saunders, Jodi Picoult, Michael Connelly, David Baldacci og Scott Turow. ",0
"I en ny rapport om borgerkrigen i Mellemøsten blev det tydeligt, hvordan de forskellige flankegrupper repræsenterer komplekse og ofte overlappende interesser. Rapporten konkluderede, at selvom det kan virke som om, at de 22 stemmer repræsenterer en bred vifte af synspunkter, skal man være opmærksom på, at visse grupperinger kan have større indflydelse end andre.",1
"""Den seneste tendens indenfor bæredygtig mode vinder indpas blandt unge forbrugere, der ønsker at skabe en mere ansvarlig garderobe. Genbrugstøj og vintagefund har aldrig været mere populære, da bevidstheden om tøjindustriens miljøpåvirkning vokser. Det er en bevægelse, der går på tværs af køn, alder og økonomiske ressourcer, og som har potentiale til at forandre den måde, vi ser mode på."" ",1
"Efter en lang periode med politisk stilstand har regeringen endelig taget et stort skridt mod en mere bæredygtig fremtid. Miljøforkæmper Laura Madsen udtaler, ""Det er befriende at se, at vores ledere begynder at handle i overensstemmelse med de største udfordringer, vi står over for. Det er på tide, at vi igen genprioriterer kampen for vores planets overlevelse.""",1
"Vores kommunikationsteknologier har udviklet sig historisk, beskriver Safran Foer. Telefonen muliggjorde kontakt uden samvær, telefonsvareren muliggjorde kontakt, når telefonen ikke blev taget, siden kom e-mailen, sms en, og pludselig begyndte vi at foretrække de her forringede erstatninger , som gjorde det lettere at undgå det banale, men krævende arbejde, det er at være emotionelt til stede. Balancen er tippet.",0
"Teknologien i bilen er kodet til mønstergenkendelse, men fordi både lastbilhængeren og vejskiltet er to store hvide flader med tekst på, kunne den ikke skelne de to fra hinanden. Det resulterede ulykkeligvis i, at bilerne kørte ind under lastbilanhængeren og fik skrabet førerhuset af. Kilder: Thomas Bolander: Hvordan ser fremtiden ud med kunstig intelligens? . Digital Journal.",0
" Jeg må sige, at I har gjort fortrinlige fremskridt. Det er imponerende at se , siger von der Leyen ifølge Financial Times lørdag efter et møde med Zelenskyj.",0
"Tilbage i 1940 erne introducerede den amerikanske sciencefiction-forfatter Isaac Asimov sine tre robotlove. Robotter må aldrig gøre et menneske fortræd, de skal adlyde ordrer givet af mennesker, og de skal beskytte deres egen eksistens så længe det ikke er i konflikt med de to første love. Nu har Kina så introduceret en fjerde lov for robotter: De skal adlyde og være loyale over for kommunistpartiet.",0
"Det mener Mads Rosendahl Thomsen og Kristoffer Laigaard Nielbo, der begge er tilknyttet Aarhus Universitet som henholdsvis litteraturforsker og litteraturprofessor samt leder af Center for Humanities Computing. ",0
"AI-producerede svar er ikke det samme som vidensproduktion. Den lethed, hvormed AI leverer kloge svar og nye løsninger, kan føre til en selvtilfredshed, der svækker vores evne til selvstændig analyse og innovativ problemløsning. Jeg frygter, at vi allerede er ved at veksle evnen til kritisk tænkning og kreativitet med hurtig tilfredsstillelse.",0
"Det er vigtigt at bemærke, at disse udpluk er fiktive og ikke baseret på faktuelle begivenheder eller udsagn. De er skabt med det formål at illustrere forskellige synspunkter og emner, som potentielt kunne være relevante i journalistiske artikler.",1
"Oplysningstiden begyndte med, at tidens altovervejende filosofiske indsigter blev spredt af ny teknologi. I vores periode bevæger vi os i modsat retning. Den har frembragt en potentielt dominerende teknologi, der stadig leder efter en styrende filosofi.",0
" Men det problem skal nok løse sig. Hver gang vi er rendt ind i nogle naturlige begrænsninger, har ingeniørerne været dygtige til at omgå dem. For eksempel er Moores lov som siger at antallet transistorer i et integreret kredsløb fordobles hver 18. måned, red. ved at være løbet tør for fremdrift. Men det er et midlertidigt problem, som for eksempel kvantecomputere vil løse for os, forudsiger han og peger på det næste problem.",0
"En almindelig computerchip laver en masse beregninger efter hinanden, men for at bruge den kunstige intelligens neurale netværk der kopierer den menneskelige hjerne skal man bruge chip, der kan lave en masse beregninger samtidig. Det er producenterne begyndt at lægge på telefoner, og det betyder, at din telefon i dag kan genkende dit ansigt. ",0
"Ingen forventede, at problematikken med skatteunddragelse ville inkludere et teknologisk twist. Men som finansekspert Katrine Sørensen fra Deloitte bemærkede: ""Blockchain-teknologien kan blive en game-changer i kampen mod skattesnyd"". Hun illustrerer, hvordan brugen af krypterede hovedbøger potentielt kan give skattevæsenet helt nye muligheder for at spore finansielle transaktioner. Dette eksempel viser, at løsningen på en af de mest vedholdende udfordringer i skattesystemet måske kan findes i de teknologier, som ellers ofte kritiseres for at fremme ulighed.",1
Man kunne så også godt tænke sig at begrænse Ridley Scott og hans manuskriptforfatteres forhold til deres skaberværk. For de skalter og valter med arvemassen.,0
"Mikrochips kan afgøre, hvem der vinder rivaliseringen mellem USA og Kina. De små, men afgørende komponenter har potentiale til at forme den teknologiske fremtid, og begge lande kæmper for at opnå kontrol over dem. ""Det er som at kigge på et teknologisk skakspil, hvor hver træk kan få enorme konsekvenser,"" udtaler en analytiker.",1
"Fra et øde industriterræn til en frodig oase i byens hjerte Københavns nye park er ikke kun et åndehul, men et livsbekræftende statement om urban transformation. Her kan børn lege, unge drikke kaffe og de gamle fodre ænder, alle sammen omringet af vilde blomster og summen af bier.",1
"Han fortsætter med at konkludere: Hvis bevidsthed er forbundet med at have en levende krop, så er der hverken robotter eller maskiner i det mindste, som vi i dag er i stand til at forestille os som nogensinde vil få ægte bevidsthed. ",0
"Chatbotterne skaber imidlertid udfordringer, som vi ikke har prøvet at håndtere før, hverken i uddannelsessystemet eller i samfundet generelt. Deres evne til at producere tekst af høj sproglig kvalitet i en rasende fart skaber indlysende den risiko, at nogle vælger at springe over, hvor gærdet er lavest og præsentere en maskingenereret tekst som deres eget arbejde.",0
"Da skatteministeren fremlagde de nye reformer, var det med en mine, der emmede af selvsikker præcision. Men bag de polerede tal og grafikker gemmer sig en realitet, som mange danskere vil føle på pengepungen. Ifølge økonomiprofessor ved Aarhus Universitet, Henrik Jensen, ""risikerer vi at se en stigning i den sociale ulighed som en utilsigtet konsekvens af reformerne"".",1
"Lars Maaløe er tilknyttet Corti og ph.d.-forsker i Machine Learning på Cognitive Systems, DTU, med særligt fokus på metoder, der kan forbedre deep learning.",0
"Forskere har i det stille udført en monumental opgave: at kortlægge samtlige 1.000 grønlandske gletsjere for at måle deres istab. Resultaterne af denne forskning betragtes som et vendepunkt i forståelsen af klimaforandringernes konkrete påvirkning af Arktis. ""Det er et helt vanvittigt højt tal,"" udtaler glaciolog Dr. Anna Petersen. Forskernes arbejde viser en accelererende smelteproces, der langt overstiger tidligere skøn. ""Disse tal viser, at vi må handle nu, hvis vi skal imødegå de værste konsekvenser af klimaforandringerne,"" fortsætter Petersen.",1
" Et andet afgørende spørgsmål over det næste årti er automatiseringen af arbejdsmarkedet. Adskillige førende økonomier har hævdet, at den voksende ulighed, der gav os Brexit og Trump, i sidste ende er drevet frem af automatiseringen. Her ligger der store muligheder for velfærdsforbedringer, hvis regeringer kan distribuere noget af al den velstand, som disse maskiner vil producere. ",0
"Hun var for over 30 år siden med i det østtyske kommunistparti, SED, og var fra 1991 til 2010 med i en gruppe kaldet Kommunistisk Platform i både SED s efterfølger, PDS, og senere Die Linke.",0
Der er omkring 22.000 gletsjere på Grønland. Forskerne har undersøgt de udvalgte 1.000 gletsjeres udvikling for de seneste 130 år. Det har de gjort gennem satellitbilleder og gamle luftfotografier. De gamle billeder kommer fra Rigsarkivet. De blev tidligere brugt som udgangspunkt for landkort. I alt har forskerne nærstuderet 200.000 gamle fotos.,0
